ts	phase	decision	why	evidence	result
2026-09-05T11:44:05Z	scope	Continue through phases 1–4 with Editor and Platform in separate worktrees	Standalone execution must pass before Platform disables embedded matching	plans/057-editor-native-vscode-keymap.md	open
2026-09-05T12:17:35Z	isolation	Moved Platform work to branch plan057-runtime in an independent worktree	Concurrent chat contract changes made the shared tree unsuitable for verification	/tmp/plan057-runtime/Platform	Independent install and repository typecheck passed
2026-09-05T12:17:35Z	standalone	Accepted standalone gate before disabling hosted Editor matching	Ordinary Editor options must execute chords without Platform	Editor ddb6b8e; packages/editor/test/chords.browser.test.ts	10 trusted browser tests; 17 runtime contract tests passed
2026-09-05T12:17:35Z	integration	Use one shared matcher with one bus snapshot per stroke and precise native input identity	Conditional alternatives and read-only targets must not recapture or fall through	apps/web/src/keymap/state/keymap-session.ts	Repository typecheck, 82 policy/bus tests, 25 DOM checks passed
2026-09-05T12:17:35Z	focus	Publish native input replacement and compare focus ids using existing equality	A target can change while retaining its registration token	apps/web/src/keymap/tests/use-app-keymap.test.tsx	36 focus and keymap DOM checks passed
2026-09-05T12:25:46Z	policy	Import both Editor packs and retain ordered conditional alternatives	Platform owns reservations and overrides; discarded overrides must preserve surviving siblings	apps/web/src/keymap/tests/keymap.test.ts; settings keybinding-section tests	82 policy/bus and 25 keymap/settings DOM checks passed
2026-09-05T12:25:46Z	ownership	Keep claimed keys owned through reentrant dispatch and explicit suppression	Disabling or replacing bindings during dispatch and declined commands must not leak consumed keys to the terminal	Editor runtime contract tests; independent review probes	Reentrancy fixed; explicit-option regression covered
2026-09-05T12:25:46Z	parity	Compare both built presets and original-table matcher outcomes	Row counts cannot detect stale chords; changed tables cannot measure extraction parity	apps/web/scripts/keymap-baseline.mjs; plans/057-matcher-baseline.json	All three platforms equal; no missing Editor registrations; changed-chord stale build fails
2026-09-05T12:25:46Z	browser	Verify real Editor and Ghostty ownership after integration	Synthetic dispatch cannot prove native editing or terminal forwarding	keymap/tests/command-focus.browser.tsx; features/terminal/tests/keybindings.browser.tsx	11 Editor and 5 terminal browser checks passed; 18 additional command provider/dispatch DOM checks passed
2026-09-05T12:27:20Z	final	Pin Editor 9abb944 and ship Platform adoption together	CI must build the exact public artifact exercised by Platform	.github/workflows/ci.yml; plans/057-verification.json; /tmp/plan057-pinned-build.log; /tmp/plan057-pinned-browser.log	Production build 6 tasks passed; final 16 browser checks passed; source/build and matcher outcomes equal
2026-09-05T12:27:20Z	review	Close independent review after ownership and physical Quote fixes	Explicit suppression must block terminal forwarding and non-Latin physical keys must retain coverage	Independent gpt-5.6-sol review; Editor 9abb944 runtime20 and trie/public13 rerun	No remaining code or documentation blockers; all review findings resolved
